#id obswave x_arcmin y_arcmin
101 6570.77 -5.20 1.33
102 6550.54 -14.72 3.49
103 6560.31 14.13 2.28
104 6559.63 5.82 -1.01
105 6558.35 9.61 1.95
106 6562.74 -4.52 2.40
107 6557.67 -5.45 1.82
108 6562.39 -3.60 -2.80
109 6563.37 5.06 -8.26
110 6562.83 9.88 -0.07
111 6552.25 -0.30 -4.08
112 6558.18 -3.37 -2.63
113 6555.92 -4.95 -1.11
114 6569.07 -1.33 0.62
115 6560.58 -6.33 5.23
116 6560.79 -7.43 -0.09
117 6573.16 -4.86 -4.64
118 6574.11 1.27 1.89
119 6562.41 -4.03 4.35
120 6567.77 2.04 4.91
121 6574.97 -0.96 1.59
122 6557.32 8.79 -1.55
123 6562.83 7.99 11.73
124 6557.16 6.30 -0.47
125 6558.43 9.91 -3.04
126 6566.30 -3.67 0.11
127 6562.15 -5.25 5.39
128 6565.20 13.94 -4.05
129 6571.86 -4.67 1.15
130 6563.93 -0.25 7.61
131 6560.10 -6.84 -2.90
132 6567.55 4.84 2.23
133 6551.40 -0.25 6.68
134 6556.86 -7.31 -2.18
135 6558.84 6.31 -0.28
136 6575.85 -7.29 6.15
137 6563.33 -5.16 7.53
138 6565.72 3.62 -6.84
139 6564.02 -4.49 -0.72
140 6563.11 8.09 -0.86
141 6559.58 3.27 -10.56
142 6577.18 -0.44 -2.85
143 6560.67 -2.98 0.31
144 6570.45 5.02 5.76
145 6570.75 -5.74 5.04
146 6558.34 -1.48 -0.56
147 6559.84 -6.02 -10.79
148 6563.35 -7.76 3.84
149 6566.32 2.54 -1.60
150 6564.53 12.09 -0.27
151 6564.10 1.27 6.59
152 6568.99 -5.66 -3.55
153 6563.78 -4.29 -9.98
154 6566.20 1.64 -4.59
155 6565.65 2.79 -0.15
156 6565.89 0.90 4.32
157 6557.73 -1.76 -5.73
158 6561.11 5.87 6.16
159 6569.33 1.30 0.39
160 6568.29 -4.38 -2.94
161 6569.09 -1.46 7.77
162 6574.86 0.59 -8.71
163 6573.36 13.18 -15.45
164 6568.97 -5.45 4.47
165 6566.11 3.23 -7.17
166 6557.40 0.74 -0.09
167 6555.65 1.37 2.79
168 6570.33 2.50 -0.63
169 6566.91 -5.40 0.55
170 6550.98 -5.03 4.93
171 6559.68 -3.94 -0.51
172 6573.31 3.98 1.82
173 6568.22 2.20 7.45
174 6555.74 2.85 2.48
175 6562.74 5.52 -7.02
176 6561.50 -5.81 0.22
177 6562.25 -4.41 0.07
178 6560.97 1.00 -2.33
179 6573.56 1.74 8.90
180 6562.51 6.55 9.43
181 6566.97 -4.97 -3.98
182 6572.12 5.82 9.26
183 6557.51 7.26 12.75
184 6554.31 -2.23 3.59
185 6564.26 3.88 5.55
186 6566.07 12.05 2.57
187 6568.81 2.26 2.92
188 6561.31 3.23 3.05
189 6564.11 7.59 -1.13
190 6566.14 2.65 2.87
191 6566.88 -4.79 9.88
192 6562.27 7.74 -2.69
193 6563.08 -7.76 1.61
194 6564.92 7.04 -0.07
195 6564.90 -1.88 4.27
196 6565.65 3.01 -1.84
197 6561.50 -2.18 -10.21
198 6569.80 -5.03 -5.23
199 6572.52 1.15 2.33
200 6568.52 2.02 7.18
201 6557.05 4.83 -2.75
202 6564.49 -2.37 -3.79
203 6566.47 0.27 -4.54
204 6568.47 6.84 -0.56
205 6560.95 3.31 4.84
206 6565.47 -4.91 -10.01
207 6560.21 3.40 4.44
208 6560.70 1.05 -10.25
209 6569.01 -7.78 11.60
210 6554.92 -1.19 -0.87
211 6557.82 -4.28 2.62
212 6563.74 3.91 -3.92
213 6553.82 -8.07 -7.13
214 6564.73 -3.17 -3.31
215 6568.80 4.23 9.76
216 6550.99 4.40 -5.90
217 6569.84 -2.53 -0.46
218 6564.68 2.97 3.42
219 6561.99 1.96 -4.61
220 6567.79 3.91 -1.74
221 6558.60 -2.72 7.27
222 6561.84 -4.09 -5.19
223 6563.58 3.42 -1.76
224 6565.74 -1.31 1.35
225 6560.54 -7.18 -1.93
226 6560.94 7.07 1.62
227 6560.77 -8.35 -6.97
228 6569.94 -1.35 -5.82
229 6565.81 -0.59 -5.11
230 6561.88 7.00 1.64
231 6567.88 -0.88 -2.65
232 6570.42 0.70 0.40
233 6560.30 0.00 1.78
234 6565.55 -4.59 1.01
235 6551.71 1.74 0.46
236 6570.10 -2.57 -1.79
237 6568.06 -2.21 3.32
238 6564.83 -3.30 -4.62
239 6568.00 -3.27 -3.87
240 6561.82 -0.47 2.41
241 6557.42 -2.20 12.33
242 6561.55 -1.05 -2.55
243 6570.92 -1.34 -7.07
244 6565.63 -2.56 4.46
245 6569.06 -3.45 7.35
246 6563.06 4.53 -2.87
247 6567.62 8.25 8.56
248 6562.95 -6.31 13.01
249 6556.38 -8.15 -7.74
250 6553.48 2.00 10.59
251 6556.43 2.20 5.56
252 6564.73 -5.13 2.77
253 6558.95 -1.09 -2.49
254 6563.22 3.40 -6.65
255 6557.50 9.65 -1.71
256 6565.41 -3.66 1.39
257 6570.14 -8.97 -2.83
258 6562.52 8.24 -7.41
259 6572.94 -6.94 9.45
260 6572.61 -9.16 -5.11
261 6562.83 0.17 5.61
262 6554.21 -0.26 -4.69
263 6566.18 -10.54 4.61
264 6564.29 -4.43 14.70
265 6564.35 -1.36 8.91
266 6553.91 2.64 3.82
267 6557.12 -3.26 12.08
268 6562.94 7.35 4.92
269 6567.30 1.66 0.67
270 6558.51 3.07 -9.36
271 6569.73 7.59 -7.51
272 6566.52 -6.17 0.79
273 6566.28 3.50 -1.99
274 6562.01 -5.62 10.77
275 6558.68 -5.59 7.27
276 6554.28 4.34 -6.02
277 6555.79 -4.64 -0.17
278 6563.37 16.66 -9.81
279 6560.53 10.53 -2.62
280 6565.77 -1.67 3.90
281 6561.61 -0.51 14.08
282 6566.81 -1.70 8.09
283 6569.55 -4.30 6.24
284 6563.35 3.33 -10.81
285 6568.35 -1.73 1.86
286 6547.42 -3.24 6.58
287 6560.47 6.81 1.34
288 6563.47 -0.07 -3.13
289 6558.51 -14.47 -12.31
290 6573.57 -9.73 6.86
291 6567.91 5.51 6.64
292 6560.42 11.37 -8.26
293 6562.38 -3.72 1.54
294 6563.98 5.91 -2.54
295 6563.49 -6.38 -2.19
296 6563.98 0.62 -8.24
297 6560.31 -4.30 -6.99
298 6569.20 -11.08 -6.69
299 6568.01 3.34 -7.85
300 6556.46 -7.64 6.05
301 6555.99 2.63 -6.02
302 6565.75 -0.06 -0.80
303 6556.91 0.35 3.67
304 6564.41 2.37 8.14
305 6563.82 -9.90 -0.14
306 6555.45 0.68 -2.73
307 6554.67 4.83 4.64
308 6558.55 -1.58 3.78
309 6557.83 2.69 -4.30
310 6562.91 13.19 -7.08
311 6552.47 -1.59 -9.27
312 6555.65 1.31 5.81
313 6570.17 1.20 -9.25
314 6557.06 2.00 -0.20
315 6569.98 -4.15 -5.33
316 6563.06 -1.18 1.68
317 6561.94 -2.67 -5.38
318 6557.80 -4.82 3.42
319 6575.99 1.46 -2.28
320 6558.20 2.11 -7.06
321 6559.95 -2.27 8.49
322 6562.21 5.66 6.49
323 6559.74 -1.25 2.60
324 6563.81 -8.72 2.67
325 6565.14 -4.72 -11.57
326 6562.52 1.09 -2.04
327 6560.22 -3.06 5.19
328 6566.02 8.29 4.70
329 6565.64 -8.50 0.43
330 6565.44 -7.58 -6.85
331 6564.25 6.84 -11.33
332 6563.52 -4.25 8.30
333 6557.59 -10.47 10.47
334 6572.08 -2.07 7.04
335 6558.89 -3.67 -5.36
336 6561.34 -10.73 -5.72
337 6565.95 -9.93 11.33
338 6564.17 8.90 5.87
339 6564.67 -4.19 5.73
340 6561.47 4.86 1.71
341 6561.95 7.57 -1.35
342 6563.60 -5.27 3.04
343 6562.82 2.61 -2.62
344 6562.43 7.73 -8.33
345 6567.95 0.83 -2.29
346 6556.86 -14.74 7.02
347 6560.89 -6.64 2.25
348 6558.55 5.12 4.71
349 6569.87 5.60 4.81
350 6568.55 6.09 -6.33
351 6569.49 0.14 -3.95
352 6553.06 11.05 4.21
353 6562.15 -4.30 -3.68
354 6568.92 9.31 4.45
355 6561.73 -12.07 4.39
356 6568.86 12.95 -0.27
357 6558.54 2.78 -0.87
358 6559.06 -0.83 2.35
359 6566.94 0.18 -0.48
360 6571.50 -3.04 2.62
361 6559.67 1.32 4.62
362 6567.03 -9.73 -0.30
363 6565.99 2.92 6.37
364 6562.93 9.97 -8.20
365 6563.92 -1.52 3.51
366 6563.19 -7.94 -2.88
367 6565.46 5.32 4.47
368 6564.13 -5.15 2.87
369 6561.92 -3.33 -9.69
370 6563.52 0.47 0.50
371 6563.13 5.68 -5.32
372 6564.69 2.39 -2.54
373 6571.85 0.48 -1.14
374 6559.54 1.29 -5.88
375 6561.72 -1.40 4.19
376 6567.72 -10.36 1.91
377 6564.26 -5.59 0.55
378 6561.50 0.80 2.20
379 6558.38 -8.77 -0.29
380 6560.45 -2.57 2.41
381 6558.58 5.97 -7.36
382 6557.36 -8.38 -3.99
383 6567.41 0.49 -6.66
384 6565.54 0.57 -2.62
385 6565.34 -0.12 -7.80
386 6561.70 2.01 2.45
387 6566.67 -5.46 6.57
388 6566.83 1.57 12.66
389 6564.90 -9.52 5.16
390 6566.81 -2.60 -4.31
391 6565.80 -3.11 -3.09
392 6558.92 1.70 4.79
393 6565.86 -6.50 -2.51
394 6567.44 -12.52 1.54
395 6575.00 -7.50 1.84
396 6564.02 1.47 1.77
397 6565.50 13.37 3.80
398 6557.69 5.29 1.42
399 6565.96 2.58 -3.39
400 6559.86 2.06 7.24
401 6562.48 -3.06 1.32
402 6553.36 -1.34 6.57
403 6559.95 -11.65 1.49
404 6557.21 -1.21 1.13
405 6567.00 9.41 5.18
406 6564.14 -5.90 -3.11
407 6558.68 -2.98 3.82
408 6564.48 -5.75 13.05
409 6573.17 -11.47 -2.13
410 6566.11 4.49 -1.20
411 6562.33 8.47 -3.78
412 6561.70 3.62 6.69
413 6568.07 2.82 -0.61
414 6555.40 4.52 1.84
415 6571.99 -3.95 9.90
416 6556.90 1.09 -2.16
417 6558.20 -0.26 -9.37
418 6565.38 0.14 6.99
419 6571.78 0.65 1.80
420 6549.91 4.98 -11.85
421 6566.10 -1.79 3.87
422 6561.70 4.84 0.98
423 6554.31 -5.45 10.19
424 6572.21 1.26 -3.96
425 6576.28 -8.83 4.62
426 6564.77 -3.83 3.58
427 6553.96 3.92 -0.45
428 6563.30 5.15 3.87
429 6566.92 -1.71 -6.22
430 6561.24 -3.05 8.71
431 6560.85 6.87 -6.97
432 6554.18 10.83 -4.22
433 6559.36 -4.64 -7.42
434 6569.39 5.52 8.42
435 6559.99 3.73 4.69
436 6567.81 3.80 0.13
437 6562.61 2.27 -5.22
438 6558.73 -0.31 -5.52
439 6552.17 5.04 3.75
440 6572.05 2.90 6.84
441 6572.34 -1.00 -3.24
442 6555.58 -7.77 -2.45
443 6558.77 4.36 -1.44
444 6563.27 -2.53 -11.80
445 6567.48 8.54 0.01
446 6561.64 4.29 8.30
447 6555.48 -3.17 1.92
448 6562.12 8.31 11.41
449 6555.60 -7.92 -5.96
450 6559.55 0.84 3.68
451 6560.66 -8.93 -7.25
452 6557.82 4.27 0.43
453 6570.63 -1.06 -5.23
454 6566.09 9.19 -3.67
455 6563.87 8.23 0.69
456 6566.21 -0.97 -5.24
457 6552.71 6.74 -2.87
458 6560.46 3.19 5.96
459 6552.93 -3.65 1.53
460 6564.80 -8.52 3.43
461 6568.62 4.67 8.40
462 6556.53 -3.06 2.51
463 6564.13 11.40 -1.85
464 6557.56 -2.41 -3.95
465 6565.73 -11.98 9.56
466 6560.72 -1.30 -6.34
467 6564.29 -4.96 4.36
468 6568.61 -1.68 3.98
469 6560.62 2.11 -3.58
470 6562.93 11.01 -3.58
471 6567.26 -7.59 -4.72
472 6557.72 8.85 -0.56
473 6559.07 5.64 -3.59
474 6564.24 -0.13 -1.77
475 6570.08 6.54 -5.47
476 6553.14 -5.27 -1.33
477 6557.47 4.27 1.91
478 6557.83 1.07 9.19
479 6558.82 2.92 -0.77
480 6574.02 -5.29 7.37
481 6560.77 3.89 -3.09
482 6562.96 -4.76 0.89
483 6561.11 10.02 -8.58
484 6557.16 -3.74 1.78
485 6561.28 -6.61 -9.65
486 6560.50 1.33 0.39
487 6559.55 -3.20 -2.46
488 6561.16 -11.53 9.22
489 6561.78 0.31 -3.06
490 6562.94 -4.96 2.45
491 6571.62 7.43 5.81
492 6557.28 -1.41 17.46
493 6572.18 -0.35 -1.25
494 6563.05 -2.55 -6.79
495 6563.50 -9.60 10.55
496 6561.87 8.96 7.22
497 6563.19 2.94 -1.69
498 6557.15 -3.05 4.28
499 6563.01 -3.38 3.02
500 6563.19 1.39 -0.99
